id,date,category,energy,range,color,papers,transmission,price,offer,wilaya,town,brand,model,year,volume,horses,radar de recul,toit ouvrant,alarme,direction assisstée,climatisation,jantes alliage,esp,vitres éléctriques,retroviseurs électriques,phares antibrouillard,phares xénon,feux du jour,abs
27627302,27-07-2021,berline,gpl,49000,gris,carte grise (safia),manuelle,227.0,offert,mostaganem,mostaganem,renault,symbol,2019,1.1,,0,0,1,1,1,1,0,1,1,1,1,1,0
27370355,27-07-2021,pickup,diesel,208000,gris,carte grise (safia),manuelle,200.0,négociable,constantine,constantine,ford,ranger,2013,1.5,85.0,0,0,0,1,1,1,0,1,1,1,0,0,1
27649854,27-07-2021,mini citadine,essence,4000,gris,carte grise (safia),manuelle,272.0,négociable,alger,les eucalyptus,kia,picanto,2019,2.5,115.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27622687,27-07-2021,moyenne berline,diesel,458000,noir,carte grise (safia),manuelle,92.0,offert,souk ahras,souk ahras,volkswagen,golf,2001,1.5,90.0,0,1,0,0,1,1,1,0,0,0,0,0,1
27596273,27-07-2021,commerciale,diesel,6000,blanc,carte grise (safia),manuelle,270.0,offert,oum el bouaghi,ksar sbahi,peugeot,partner,2016,1.3,81.0,0,0,0,1,1,0,0,0,0,0,0,0,1
27422580,27-07-2021,mini citadine,essence,999999,blanc,carte grise (safia),manuelle,58.0,offert,alger,khraissia,suzuki,maruti,2009,1.6,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27435276,27-07-2021,berline,essence,354,blanc,carte grise (safia),manuelle,95.0,offert,ain defla,djendel,peugeot,301,2013,1.5,88.0,0,0,1,1,1,0,0,1,0,1,0,0,0
27066763,27-07-2021,citadine,essence,24000,gris,carte grise (safia),manuelle,315.0,offert,oran,oran,peugeot,208,2020,1.4,95.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27572108,27-07-2021,tout terrain - suv,diesel,310,noir,carte grise (safia),manuelle,128.0,offert,alger,ouled fayet,volkswagen,touareg,2007,,,0,1,1,1,1,1,1,1,1,1,1,1,1
27371197,27-07-2021,citadine,essence,175000,blanc,carte grise (safia),manuelle,172.0,offert,setif,ain arnat,seat,ibiza,2013,1.9,64.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27636185,27-07-2021,berline,diesel,82000,gris,carte grise (safia),manuelle,370.0,offert,saida,saida,skoda,octavia,2018,2.0,115.0,1,0,1,1,1,1,1,1,1,1,1,1,1
25118226,27-07-2021,moyenne berline,diesel,194000,gris,carte grise (safia),manuelle,213.0,offert,sidi bel abbes,sidi bel abbes,seat,leon,2016,1.8,115.0,0,0,0,1,1,1,0,0,1,0,0,0,1
27655942,27-07-2021,camionnette,essence,104000,blanc,carte grise (safia),manuelle,85.0,offert,ouargla,touggourt,dfsk,mini,2014,2.0,143.0,1,1,1,1,1,1,1,1,1,1,0,1,1
27650680,27-07-2021,commerciale,diesel,168000,blanc,carte grise (safia),manuelle,265.0,négociable,alger,alger centre,peugeot,partner,2015,2.0,,1,1,1,1,1,1,1,1,1,1,1,1,1
27563477,27-07-2021,citadine,essence,376000,vert,carte grise (safia),manuelle,60.0,fixe,alger,ain taya,peugeot,206,2000,1.8,90.0,0,0,1,1,0,0,0,0,0,0,0,0,0
